類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
1975  ,11.7,11.9,11.8,12.0,10.7,13.0,9.5,13.9,20.6,12.7,13.8,14.1,8.5,2.1,-1.5,18.7,19.5,14.5,13.9,12.2,13.5,8.0,16.3,10.3,9.3,10.7,9.6,9.2,13.8,4.8,19.7,17.3,,3.8,5.2,4.6,1.2,7.0,-4.0,18.6,6.1,8.0,7.2,8.3,2.3,4.6,0.3,6.0,6.3,11.6,12.9,13.4,11.7,13.0,12.4,21.0,8.4,2.1,25.7,26.0,24.6,,13.5,3.5,7.8,15.9,19.1,11.7,22.9,6.2,12.8,0.0,1.8,13.1,,,,11.9
1976  ,9.4,9.0,9.3,8.8,9.8,9.1,14.7,7.6,11.9,11.2,16.1,10.6,2.6,13.3,19.7,7.3,7.4,-0.2,5.0,6.1,7.2,9.8,9.7,9.9,9.4,10.3,10.2,8.5,10.0,7.5,5.4,11.3,,1.4,-0.3,3.6,2.2,0.9,1.4,17.5,8.2,10.6,12.3,10.1,6.6,9.6,3.1,5.4,5.9,7.2,8.2,5.8,3.0,10.1,9.9,17.3,5.5,10.7,17.9,24.7,0.9,,6.4,-0.8,5.6,3.5,10.7,21.1,15.2,4.3,4.3,49.0,93.7,7.0,14.5,,,9.1
1977  ,8.1,8.1,8.1,8.0,8.9,6.7,9.1,6.0,8.8,18.8,18.1,-0.4,4.0,0.3,-3.7,13.0,13.1,1.0,4.0,4.7,8.3,1.5,7.3,9.5,9.0,9.8,10.2,7.6,9.4,11.2,10.3,3.1,,3.9,1.3,4.7,7.1,5.3,4.3,11.7,6.1,5.8,9.1,4.9,6.1,6.4,5.8,7.7,6.2,7.3,5.1,7.4,6.3,4.1,18.4,19.2,2.2,52.2,14.2,18.3,0.9,13.7,6.4,0.2,5.8,2.5,10.2,6.0,11.8,9.6,4.9,0.0,28.6,7.7,12.0,,,8.1
1978  ,4.2,4.4,3.8,4.0,5.4,3.5,1.8,4.0,5.2,7.6,2.3,-0.2,-3.2,4.4,3.6,-0.5,-0.7,0.5,2.1,3.5,4.6,5.7,4.4,7.8,6.5,8.7,8.2,4.5,-0.5,-1.8,-0.1,-4.3,,1.9,1.9,0.3,1.8,4.0,-0.8,8.1,3.6,3.9,6.0,3.3,2.5,3.3,1.6,4.1,3.8,3.2,9.7,2.8,2.9,13.4,1.2,5.9,-3.4,3.0,12.2,14.9,3.8,8.9,4.6,0.7,4.4,5.7,5.3,2.9,6.5,2.6,3.6,0.0,2.2,-4.1,9.4,,,4.9
1979  ,3.7,3.7,3.6,3.5,4.4,2.2,4.5,1.4,1.6,3.9,4.3,-0.9,1.4,4.6,5.5,3.3,3.4,-0.5,0.4,1.2,-1.3,2.0,2.9,5.7,5.9,5.5,5.3,6.6,4.5,0.0,2.2,22.2,,1.7,1.1,1.4,2.1,3.0,0.5,5.1,4.8,6.1,9.9,4.9,3.5,5.0,1.6,3.6,2.7,3.3,2.2,3.5,0.4,2.2,6.0,10.3,7.1,0.1,9.1,10.8,1.8,8.7,3.2,0.2,1.4,5.3,3.8,2.9,5.7,1.0,6.3,0.0,0.5,7.1,7.5,,,3.5
1980  ,7.7,7.5,8.0,7.8,6.5,6.0,9.9,5.0,5.2,2.8,5.3,2.6,7.2,17.1,23.1,1.2,1.2,6.3,5.4,4.8,2.6,8.2,6.3,6.1,8.2,4.6,4.3,12.7,33.6,34.4,34.5,58.0,,7.2,4.3,6.0,5.6,9.5,13.6,7.0,5.5,4.8,5.3,4.6,4.7,5.6,3.6,8.7,3.9,7.7,1.7,3.2,2.2,1.1,6.4,6.9,10.3,-0.1,9.3,10.5,2.6,10.4,7.3,-0.3,8.0,10.6,7.4,12.1,9.0,0.7,24.4,14.5,1.1,34.6,8.1,,,5.9
1981  ,4.9,4.8,4.9,4.9,4.6,5.3,6.2,5.1,5.0,3.7,2.8,4.2,3.6,5.7,6.0,11.4,11.9,4.7,6.3,4.4,4.7,7.9,5.2,4.5,4.0,4.8,4.8,3.2,7.7,8.5,6.7,6.0,,4.5,3.6,4.1,4.0,6.2,4.2,7.3,4.0,3.9,5.4,3.6,3.7,3.4,4.2,4.6,3.7,4.1,2.8,5.4,4.6,1.5,3.4,7.4,2.2,-0.4,7.5,7.2,10.1,8.1,5.0,-2.1,4.8,7.6,5.9,4.5,5.4,2.5,3.2,6.1,2.2,6.0,6.9,5.6,,4.7
1982  ,2.8,3.1,2.7,2.9,3.2,1.8,-1.5,2.6,4.1,6.3,7.9,1.3,-4.7,-5.3,-9.9,-3.3,-3.5,0.2,3.4,4.0,2.5,2.4,3.3,3.5,3.0,3.9,4.1,1.4,3.5,0.5,0.4,10.5,,0.8,0.0,-1.2,1.5,2.0,-0.1,4.7,2.9,3.6,3.0,3.7,2.7,3.2,2.0,1.3,2.2,2.2,2.9,4.0,3.3,2.5,5.1,8.7,5.0,-1.1,6.1,6.5,1.9,5.5,1.9,-2.8,1.6,1.4,3.4,1.8,3.4,3.2,0.2,0.0,5.2,4.0,5.2,3.1,,3.0
1983  ,1.9,1.9,1.9,1.8,2.5,2.1,2.7,1.9,2.6,0.2,-0.5,1.7,-1.8,7.3,8.9,-0.3,-0.4,0.3,1.1,2.4,0.8,2.6,2.7,3.1,3.0,3.5,3.8,1.9,-0.3,0.0,0.4,-5.5,,0.7,-0.8,0.6,1.5,1.4,0.8,3.8,2.3,2.9,5.2,2.3,2.1,2.1,1.9,1.7,1.8,1.3,1.3,3.1,4.0,-0.1,-0.8,2.2,-3.2,-0.7,4.9,5.5,0.1,3.7,2.4,-2.3,2.9,1.6,3.5,3.9,2.3,2.1,1.3,8.0,20.4,-2.8,4.2,2.5,,2.3
1984  ,2.3,2.1,2.2,2.2,2.6,2.8,3.7,2.6,3.7,0.1,0.4,0.2,1.1,5.9,5.3,6.5,6.8,2.7,0.9,1.6,0.6,9.5,3.0,2.2,2.6,2.3,3.4,1.7,-0.2,0.0,0.3,-7.4,,0.8,-0.1,0.1,0.7,2.5,0.2,3.8,2.6,3.5,4.4,3.3,2.2,2.6,1.7,1.5,1.3,1.0,3.5,8.0,3.2,2.0,0.9,5.6,-1.6,-2.2,4.3,4.5,1.2,4.2,2.0,-2.3,1.2,0.6,3.8,2.3,1.9,1.6,0.7,3.7,13.8,-2.2,3.6,2.7,,2.4
