類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
2003  ,-0.3,-0.3,-0.3,-0.4,-0.3,-0.2,0.7,-0.4,1.4,-1.9,-2.6,0.8,-1.0,2.1,4.0,0.5,0.8,-2.3,-0.3,-0.6,-2.6,-0.8,-0.1,-0.1,-0.6,0.1,-0.3,-0.9,-0.5,-2.1,0.0,5.1,0.6,-3.0,-7.6,-3.4,-2.3,-1.4,0.7,0.3,-1.9,-2.6,-2.2,-2.6,-2.1,-3.0,-0.2,-0.9,0.2,-0.2,3.4,-0.6,-2.7,7.7,0.1,0.2,0.0,-0.1,0.6,0.9,-0.4,-0.3,-1.5,-13.8,-2.0,0.2,0.0,0.9,0.0,-1.5,3.9,4.1,-0.3,0.1,0.5,-1.4,,-0.4
2004  ,0.0,-0.1,0.0,-0.2,-0.6,0.9,2.5,0.7,3.7,-1.2,-1.3,2.9,0.4,3.1,5.3,3.7,3.8,-1.3,0.4,-0.1,-2.3,-0.9,0.9,-0.2,-0.5,-0.2,-0.4,-0.6,0.1,-0.5,-0.2,3.6,0.6,-3.3,-8.4,-3.8,-1.9,-1.1,-1.5,0.5,-0.2,-0.5,0.1,-0.5,0.4,0.7,0.1,-0.8,-0.4,0.2,0.0,-0.5,-2.0,0.9,-0.2,0.2,0.1,-1.2,0.7,0.7,-0.4,0.5,-1.4,-12.3,-1.8,0.5,-0.5,0.6,0.2,-1.0,0.9,3.9,0.0,1.5,0.6,-1.2,,-0.2
2005  ,-0.3,-0.1,-0.4,-0.1,-0.4,-0.9,-3.4,-0.5,-6.6,-0.6,-1.8,1.9,2.2,-4.2,-6.5,-0.8,-0.7,-0.7,0.1,0.5,-1.8,-0.1,0.1,-0.1,-0.3,0.0,-0.3,-0.4,0.8,-2.4,0.8,23.5,0.5,-2.3,-4.2,-2.9,-1.9,-0.9,-3.0,0.5,0.7,1.5,0.0,1.6,1.2,1.3,0.9,-1.5,-1.5,0.4,-0.4,-0.4,-1.4,-0.1,0.3,0.0,2.9,-6.8,0.7,0.7,-0.1,0.7,-0.9,-12.3,-0.9,0.4,-0.1,0.3,0.2,-0.9,1.4,0.0,1.5,3.6,0.5,-0.8,,-0.5
2006  ,0.3,0.1,0.3,0.1,-0.4,0.5,4.3,-0.2,-1.7,2.2,2.8,0.8,-2.2,3.3,5.8,3.7,4.0,-1.3,0.0,0.5,-2.1,-0.9,0.5,0.0,0.0,0.0,0.0,0.0,3.6,0.7,4.8,24.6,0.8,-2.1,-5.2,-2.4,-0.6,0.3,-1.2,0.3,0.8,1.1,-0.6,1.3,0.7,0.9,0.4,0.6,-0.6,1.1,-0.6,-0.5,-0.6,-0.6,0.3,-0.3,2.4,-3.6,0.7,0.7,0.3,0.7,-1.5,-18.6,0.1,0.5,0.7,0.9,0.0,-1.0,3.8,4.6,0.4,5.8,0.6,-1.5,-2.7,-0.4
2007  ,0.0,0.0,0.1,0.1,-0.3,0.3,0.7,0.3,-0.5,0.9,1.3,1.9,-0.3,-1.5,-2.6,4.9,5.1,0.5,0.4,0.6,-1.0,-1.1,0.7,-0.2,0.0,-0.2,-0.2,0.1,0.8,0.4,1.6,1.5,0.0,-1.6,-6.1,-2.2,-0.3,1.0,1.4,0.3,0.6,0.4,-0.3,0.4,0.7,1.1,-0.4,1.4,-0.4,1.0,0.3,-1.0,-0.4,1.2,0.1,0.1,1.0,-2.1,0.7,0.7,1.4,1.0,-1.3,-16.7,-1.2,0.2,0.9,0.8,-0.3,-0.1,2.0,4.3,0.4,1.7,0.7,-1.1,-1.5,-0.1
2008  ,1.4,1.5,1.6,1.7,0.0,2.6,-0.4,3.1,6.4,2.3,1.6,4.1,4.6,2.0,1.6,-6.1,-6.3,4.0,5.3,3.4,-0.4,1.5,1.6,0.2,0.4,0.0,0.0,1.0,6.0,3.7,6.6,29.4,0.3,-0.3,-3.4,-1.5,-0.6,1.8,2.2,0.1,0.5,0.4,0.0,0.4,0.1,0.3,-0.3,1.8,-0.7,2.1,-0.3,-0.3,-1.8,0.2,2.0,1.0,3.3,0.0,0.7,0.7,0.1,0.6,-0.5,-18.4,0.2,0.3,1.3,0.4,0.1,0.0,2.3,0.1,0.3,9.0,0.9,-0.4,0.0,0.8
2009  ,-1.4,-1.3,-1.5,-1.5,-0.7,0.2,-2.5,0.8,0.8,-1.0,-3.0,-1.2,1.3,-0.5,-1.3,-3.3,-3.4,0.0,3.3,1.1,-2.3,-0.5,0.9,-0.2,0.0,-0.3,-0.4,0.6,-4.2,-0.6,-0.6,-33.8,0.7,-2.2,-5.5,-2.7,-2.6,0.0,-0.7,0.0,-0.9,-1.4,-0.8,-1.4,-0.7,-1.0,-0.2,0.2,-1.1,0.8,-0.1,-2.2,-2.5,1.7,-4.9,-0.8,-8.1,-0.4,0.9,0.8,7.0,0.1,-2.5,-22.6,-0.5,0.3,-1.8,-0.4,-0.1,-1.5,-0.7,0.0,0.1,-11.1,1.0,-2.3,-0.2,-0.4
2010  ,-0.7,-1.0,-0.8,-1.1,-1.2,-0.3,5.8,-1.4,-3.2,-1.7,-1.0,-1.8,-0.8,6.2,11.1,6.6,7.1,-1.7,-1.1,-1.7,-2.1,-1.4,-0.1,-0.4,-0.5,-0.4,-0.5,-0.7,-0.2,-3.1,-0.8,14.9,0.3,-4.6,-10.1,-4.0,-2.6,-1.1,-4.4,0.4,-1.2,-1.1,-0.1,-1.2,-1.2,-0.9,-1.6,-1.3,-2.6,0.2,-0.5,-1.4,-2.5,0.7,1.0,-0.7,2.4,-0.7,-9.6,-12.8,0.8,0.3,-1.7,-19.4,-2.7,0.2,-0.2,1.3,-0.1,-1.2,-0.5,9.6,1.9,2.7,-7.8,-1.6,-0.4,-1.3
2011  ,-0.3,-0.3,-0.3,-0.3,-1.0,-0.4,-1.0,-0.3,-1.6,0.4,1.0,-0.1,0.2,-2.2,-3.2,0.6,0.6,-0.8,-0.5,0.4,-0.5,-1.1,0.2,-0.2,-0.3,-0.2,-0.4,-0.1,3.3,2.8,2.9,18.4,0.0,-5.6,-13.8,-3.4,-0.1,-0.2,-2.0,-0.4,-0.3,0.0,0.8,0.0,-0.2,0.0,-0.8,-1.3,-0.6,0.1,-0.7,-2.0,-0.3,0.0,1.2,0.8,2.2,-0.7,-2.1,-3.0,0.1,-0.2,-4.0,-27.5,-1.7,0.3,0.8,3.8,-0.4,-1.3,-0.8,26.2,5.4,5.8,-1.7,-3.5,-0.1,-0.8
2012  ,0.0,-0.1,0.0,0.0,-0.6,0.1,0.5,0.0,3.0,1.0,0.7,-0.9,-2.2,-0.5,-0.7,2.7,2.7,-1.3,-0.6,0.7,-1.1,-1.2,0.0,-0.3,-0.2,-0.4,-0.5,0.1,3.9,5.9,4.1,1.9,0.3,-2.9,-8.8,-1.6,1.8,1.6,-1.9,-0.1,0.0,0.0,0.6,-0.1,0.3,0.7,-0.5,-0.5,-0.3,0.1,-0.8,-2.2,-1.3,0.2,0.3,0.1,0.9,-1.0,0.3,0.3,1.9,0.2,-1.6,-8.9,-1.1,0.5,-0.8,-0.2,-0.1,-1.1,0.1,0.0,0.1,3.7,0.4,-1.5,-0.7,-0.4
2013  ,0.4,0.4,0.5,0.5,-0.2,-0.1,-0.1,-0.1,-0.5,1.0,0.5,0.3,0.1,-0.1,0.3,-1.6,-1.7,-0.6,0.2,-0.3,-1.5,-1.0,0.3,-0.4,-0.3,-0.4,-0.4,-0.2,4.6,7.1,2.6,8.0,0.5,-2.2,-6.9,-1.9,-0.1,0.7,-0.3,-0.4,0.3,0.5,-0.1,0.6,0.6,0.7,0.5,-0.3,-0.8,0.4,-0.6,-1.0,-1.9,0.1,1.4,0.0,2.7,-0.6,0.5,0.3,3.5,0.8,-1.0,-5.3,-0.4,0.2,-0.6,1.2,0.0,0.3,5.0,0.0,1.7,5.8,0.4,-0.9,-1.0,-0.2
2014  ,2.7,2.6,3.3,3.2,1.8,3.8,6.2,3.4,-0.4,9.7,11.8,7.6,5.4,2.8,3.0,4.2,4.1,3.2,3.6,4.6,1.0,2.0,2.6,0.0,0.9,-0.3,-0.4,2.4,6.2,8.1,5.9,5.9,2.5,3.8,6.3,1.3,2.6,3.0,3.4,1.7,2.2,2.0,2.3,2.0,2.5,1.8,4.1,1.8,1.5,3.3,1.0,1.7,0.6,0.7,2.6,5.2,2.7,1.3,1.9,1.4,2.2,3.0,3.7,5.1,5.2,2.4,3.1,3.7,1.8,1.7,7.5,3.2,5.0,6.5,1.9,3.5,1.3,2.2
2015  ,0.8,0.5,1.0,0.7,1.0,3.1,6.8,2.4,-0.8,3.8,3.6,4.9,3.0,6.2,8.7,8.1,8.1,1.0,4.6,3.2,1.0,-0.1,2.1,0.0,0.8,-0.3,-0.3,2.0,-2.6,-0.7,-2.5,-22.6,1.3,1.5,0.7,0.5,3.3,2.8,1.5,0.1,2.2,1.7,0.0,1.8,2.5,2.2,3.1,4.2,1.5,1.5,0.9,1.2,0.7,0.8,-1.9,2.4,-4.1,0.4,1.6,1.8,1.5,1.3,1.9,4.4,2.2,1.2,1.6,1.0,0.8,2.1,3.6,1.0,-0.4,-7.2,1.7,1.9,0.0,1.4
2016  ,-0.1,-0.3,-0.1,-0.3,0.3,1.7,4.6,1.2,1.7,1.8,1.9,1.6,0.3,3.7,5.0,6.8,7.0,0.7,2.5,1.4,0.3,-0.4,0.8,-0.1,0.4,-0.3,-0.3,1.0,-7.3,-7.9,-9.6,-22.3,0.4,-0.4,-3.5,-4.0,1.4,4.7,-0.3,0.0,1.8,1.6,0.0,1.7,1.3,0.9,2.3,4.2,1.0,0.8,0.9,-0.1,0.9,1.4,-2.0,-0.1,-3.0,-0.9,1.6,1.8,0.4,1.2,1.0,1.0,0.9,0.3,1.1,0.7,0.2,0.1,1.3,1.2,1.0,-10.2,1.7,0.8,-0.8,0.6
2017  ,0.5,0.5,0.6,0.7,-0.1,0.7,-0.2,0.9,1.5,5.2,6.4,1.4,-0.5,-1.9,-4.0,-0.9,-1.1,0.3,0.6,0.4,0.3,3.1,0.3,-0.2,0.1,-0.3,-0.3,0.5,2.7,3.2,-0.2,23.9,0.5,-0.5,-0.5,-3.3,0.5,1.3,-1.7,0.1,0.2,0.1,0.2,0.1,0.1,-0.3,1.1,0.9,-0.3,0.8,0.9,-0.2,0.4,1.6,0.3,-0.1,2.5,-3.8,0.6,0.6,0.6,0.6,0.4,-3.0,-0.1,0.5,0.8,0.3,0.2,-0.7,0.5,1.0,0.7,5.3,0.6,0.2,-1.9,0.1
2018  ,1.0,0.9,1.2,1.1,0.1,1.4,3.8,1.0,1.7,3.2,2.6,0.4,2.1,4.6,5.0,3.0,3.1,0.1,0.0,0.6,-0.1,0.3,0.9,-0.1,0.1,-0.2,-0.1,0.2,4.0,4.5,3.1,17.6,0.5,-1.1,-2.3,-2.1,-0.5,-0.3,-0.6,0.1,0.1,-0.1,-0.3,-0.1,0.2,0.1,0.4,0.2,0.2,1.2,1.5,-0.2,0.2,2.8,1.4,0.2,3.1,-1.7,0.4,0.3,0.1,0.7,0.8,-1.8,-0.1,0.8,1.4,0.5,0.2,-0.1,0.6,3.0,0.4,7.0,0.5,0.7,-2.0,0.4
2019  ,0.5,0.6,0.6,0.8,0.4,0.4,-3.1,1.1,0.9,1.4,0.5,0.9,2.2,-4.9,-7.9,1.4,1.3,-0.2,2.0,0.9,0.2,-0.5,1.5,0.3,1.0,0.0,0.0,1.9,2.3,3.0,3.1,0.0,0.6,2.2,4.9,1.6,1.8,-0.3,1.5,1.3,0.4,-0.1,1.0,-0.2,0.5,0.4,0.6,1.3,0.4,2.4,0.7,-0.1,0.7,1.0,-0.7,0.7,0.1,-3.1,-1.5,-2.7,0.3,1.2,1.6,0.1,1.5,2.8,1.5,0.0,0.8,0.0,1.8,6.4,-2.6,1.4,-1.0,1.5,-1.8,0.6
2020  ,0.0,-0.2,0.0,-0.2,-0.1,1.4,3.3,1.0,0.1,-0.4,-1.0,1.0,0.3,3.5,4.7,6.0,6.4,-0.6,2.1,0.7,-0.5,0.7,2.1,0.6,1.8,0.1,0.0,3.4,-2.4,-3.5,-1.7,-9.1,0.9,2.3,1.6,3.0,2.3,2.9,2.7,2.1,1.1,1.1,1.6,1.1,0.7,0.4,1.2,1.6,0.5,2.8,0.3,0.9,0.8,-0.1,-0.2,1.9,-1.0,0.2,-7.8,-12.4,1.3,1.7,-0.6,1.9,2.4,1.7,-2.4,-2.0,1.7,1.2,2.7,3.7,-9.6,-4.2,-5.8,-0.6,0.6,0.2
